LP;Zawodnik;AVG - zawodnik;Przeciwnik;AVG - przeciwnik;Wynik;Faza;Turniej;Data
296;Paul Nicholson;91.12;Max Hopp;89.57;"6;1";L16;Dutch Darts Masters;30.10.2012
297;Wayne Jones;89.1;Andy Jenkins;80.67;"6;1";L16;Dutch Darts Masters;30.10.2012
298;Phil Taylor;109.76;Andy Smith;96.55;"6;1";L16;Dutch Darts Masters;30.10.2012
299;Kim Huybrechts;99.91;Mark Walsh;96.21;"6;2";QF;Dutch Darts Masters;30.10.2012
300;Simon Whitlock;97.33;Johnny Haines;87.42;"6;2";QF;Dutch Darts Masters;30.10.2012
301;Paul Nicholson;83.31;Arron Monk;69.39;"6;1";QF;Dutch Darts Masters;30.10.2012
302;Wayne Jones;101.49;Phil Taylor;99.63;"6;5";QF;Dutch Darts Masters;30.10.2012
303;Simon Whitlock;99.71;Kim Huybrechts;87.86;"6;1";SF;Dutch Darts Masters;30.10.2012
304;Paul Nicholson;101.02;Wayne Jones;98.95;"6;3";SF;Dutch Darts Masters;30.10.2012
305;Simon Whitlock;87.5;Paul Nicholson;74.49;"6;1";Final;Dutch Darts Masters;30.10.2012
306;James Wade;92.77;Adam Hunt;88.43;"6;4";L64;UK Masters;08.03.2013
307;Andy Hamilton;94.93;Daryl Gurney;85.31;"6;0";L64;UK Masters;08.03.2013
308;Phil Taylor;99.63;Andy Pearce;85.86;"6;1";L64;UK Masters;08.03.2013
309;Kurt van de Rijck;82.47;Steve Beaton;86.44;"6;4";L64;UK Masters;08.03.2013
310;Adrian Lewis;89.44;Dave Honey;84.4;"6;5";L64;UK Masters;08.03.2013
311;Andy Smith;88.88;Keith Rooney;84.62;"6;1";L64;UK Masters;08.03.2013
312;Simon Whitlock;89.5;Jarkko Komula;76.11;"6;3";L64;UK Masters;08.03.2013
313;Raymond van Barneveld;89.97;Tomas Seyler;83.15;"6;1";L64;UK Masters;08.03.2013
314;Mark Walsh;76.88;Paul Rowley;74.29;"6;2";L64;UK Masters;08.03.2013
315;Michael van Gerwen;103.69;Jelle Klaasen;101.24;"6;5";L64;UK Masters;08.03.2013
316;Wes Newton;96.89;Ross Smith;93.1;"6;4";L64;UK Masters;08.03.2013
317;Gary Anderson;93.8;Ian Moss;84.06;"6;1";L64;UK Masters;08.03.2013
318;Ronnie Baxter;89.81;Alan Tabern;84.06;"6;4";L64;UK Masters;08.03.2013
319;Wayne Jones;85.13;Jyhan Artut;88.06;"6;3";L64;UK Masters;08.03.2013
320;Robert Thornton;106.09;John Henderson;88.61;"6;0";L64;UK Masters;08.03.2013
321;Colin Lloyd;93.55;Brian Woods;84.38;"6;3";L64;UK Masters;08.03.2013
322;Mervyn King;96.11;Michael Smith;97.14;"6;5";L64;UK Masters;08.03.2013
323;Kevin Painter;86.56;Steve West;85.26;"6;5";L64;UK Masters;08.03.2013
324;Arron Monk;91.3;Ian White;90.8;"6;4";L64;UK Masters;08.03.2013
325;David Pallett;93.59;Paul Nicholson;93.59;"6;3";L64;UK Masters;08.03.2013
326;Mark Webster;101.44;Simon Craven;87.08;"6;2";L64;UK Masters;08.03.2013
327;John Part;86.36;Kim Huybrechts;76.99;"6;4";L64;UK Masters;08.03.2013
328;Mensur Suljovic;97.55;Colin Osborne;93.74;"6;3";L64;UK Masters;08.03.2013
329;Bernd Roith;93.24;Justin Pipe;86.14;"6;2";L64;UK Masters;08.03.2013
330;Brendan Dolan;98.84;Reece Robinson;78.62;"6;1";L64;UK Masters;08.03.2013
331;Richie Burnett;93.94;Michael Rasztovits;80.58;"6;0";L64;UK Masters;08.03.2013
332;Terry Jenkins;87.58;Kevin McDine;78.28;"6;1";L64;UK Masters;08.03.2013
333;Jamie Caven;88.4;Jim Walker;82.91;"6;5";L64;UK Masters;08.03.2013
334;Tony West;94.95;Vincent van der Voort;86.82;"6;2";L64;UK Masters;08.03.2013
335;Stuart Kellett;91.09;Peter Wright;91.29;"6;0";L64;UK Masters;08.03.2013
336;Nigel Heydon;;James Hubbard;;"6;3";L64;UK Masters;08.03.2013
337;Dave Chisnall;92.2;Darren Webster;87.57;"6;5";L64;UK Masters;08.03.2013
338;James Wade;91.76;Mervyn King;77.37;"6;1";L32;UK Masters;09.03.2013
339;Adrian Lewis;97.71;David Pallett;84.74;"6;3";L32;UK Masters;09.03.2013
340;Mark Webster;84.99;Wes Newton;81.08;"6;3";L32;UK Masters;09.03.2013
341;John Part;93.99;Gary Anderson;95.8;"6;3";L32;UK Masters;09.03.2013
342;Simon Whitlock;89.29;Wayne Jones;84.65;"6;0";L32;UK Masters;09.03.2013
343;Andy Hamilton;87.22;Brendan Dolan;88.04;"6;4";L32;UK Masters;09.03.2013
344;Raymond van Barneveld;107.45;Kevin Painter;91.28;"6;2";L32;UK Masters;09.03.2013
345;Phil Taylor;106.97;Jamie Caven;96.0;"6;1";L32;UK Masters;09.03.2013
346;Michael van Gerwen;102.09;Kurt van de Rijck;87.65;"6;1";L32;UK Masters;09.03.2013
347;Ronnie Baxter;112.9;Andy Smith;99.03;"6;3";L32;UK Masters;09.03.2013
348;Robert Thornton;100.41;Tony West;95.06;"6;4";L32;UK Masters;09.03.2013
349;Dave Chisnall;93.59;Nigel Heydon;95.4;"6;5";L32;UK Masters;09.03.2013
350;Mensur Suljovic;94.8;Bernd Roith;88.7;"6;5";L32;UK Masters;09.03.2013
351;Arron Monk;96.85;Mark Walsh;91.08;"6;4";L32;UK Masters;09.03.2013
352;Stuart Kellett;94.42;Colin Lloyd;88.68;"6;1";L32;UK Masters;09.03.2013
353;Richie Burnett;96.75;Terry Jenkins;87.58;"6;2";L32;UK Masters;09.03.2013
354;James Wade;98.72;Michael van Gerwen;102.94;"6;4";L16;UK Masters;10.03.2013
355;Adrian Lewis;95.64;Mark Webster;83.14;"6;1";L16;UK Masters;10.03.2013
356;John Part;88.02;Mensur Suljovic;81.93;"6;5";L16;UK Masters;10.03.2013
357;Simon Whitlock;100.81;Ronnie Baxter;94.32;"6;2";L16;UK Masters;10.03.2013
358;Andy Hamilton;97.36;Raymond van Barneveld;97.38;"6;3";L16;UK Masters;10.03.2013
359;Phil Taylor;100.31;Richie Burnett;94.88;"6;5";L16;UK Masters;10.03.2013
360;Robert Thornton;92.76;Arron Monk;89.27;"6;5";L16;UK Masters;10.03.2013
361;Stuart Kellett;99.75;Dave Chisnall;93.47;"6;5";L16;UK Masters;10.03.2013
362;Adrian Lewis;98.74;James Wade;98.28;"6;2";QF;UK Masters;10.03.2013
363;John Part;96.54;Simon Whitlock;93.59;"6;4";QF;UK Masters;10.03.2013
364;Andy Hamilton;103.23;Phil Taylor;105.7;"6;3";QF;UK Masters;10.03.2013
365;Stuart Kellett;93.7;Robert Thornton;88.8;"6;1";QF;UK Masters;10.03.2013
366;John Part;96.43;Adrian Lewis;86.36;"6;2";SF;UK Masters;10.03.2013
367;Stuart Kellett;93.47;Andy Hamilton;93.7;"6;3";SF;UK Masters;10.03.2013
368;John Part;94.04;Stuart Kellett;88.77;"6;4";Final;UK Masters;10.03.2013
369;Michael Smith;103.13;Dave Chisnall;94.91;"6;1";L64;European Darts Trophy;30.03.2013
370;Mensur Suljovic;88.63;Scott Rand;85.91;"6;5";L64;European Darts Trophy;30.03.2013
371;Mervyn King;89.29;Leon de Geus;82.94;"6;0";L64;European Darts Trophy;30.03.2013
372;Andy Smith;93.05;Magnus Caris;88.63;"6;2";L64;European Darts Trophy;30.03.2013
373;Kim Huybrechts;88.52;Steve Hine;88.66;"6;5";L64;European Darts Trophy;30.03.2013
374;Jamie Caven;84.63;Andrew Johnson;77.45;"6;3";L64;European Darts Trophy;30.03.2013
375;Terry Jenkins;85.58;Tony West;85.02;"6;5";L64;European Darts Trophy;30.03.2013
376;Terry Temple;76.56;Mark Walsh;80.63;"6;4";L64;European Darts Trophy;30.03.2013
377;Wes Newton;99.02;Tomas Seyler;87.87;"6;3";L64;European Darts Trophy;30.03.2013
378;Arron Monk;97.39;Alex Roy;103.08;"6;3";L64;European Darts Trophy;30.03.2013
379;Peter Wright;94.37;Michael Kiebel;74.56;"6;2";L64;European Darts Trophy;30.03.2013
380;Colin Osborne;81.17;Gareth Cousins;80.17;"6;5";L64;European Darts Trophy;30.03.2013
381;Justin Pipe;87.28;Co Stompe;72.28;"6;1";L64;European Darts Trophy;30.03.2013
382;Joe Cullen;97.21;Mark Hylton;88.71;"6;5";L64;European Darts Trophy;30.03.2013
383;Nick Fullwell;88.31;Jyhan Artut;85.74;"6;2";L64;European Darts Trophy;30.03.2013
384;Kevin Painter;80.52;Mario Gaisbauer;66.44;"6;0";L64;European Darts Trophy;30.03.2013
385;Michael van Gerwen;82.75;Leo Hendriks;72.05;"6;1";L64;European Darts Trophy;30.03.2013
386;Darren Webster;88.95;Kurt van de Rijck;85.23;"6;5";L64;European Darts Trophy;30.03.2013
387;Brendan Dolan;92.92;John Bowles;91.43;"6;4";L64;European Darts Trophy;30.03.2013
388;Jamie Robinson;90.12;Richie Burnett;90.4;"6;5";L64;European Darts Trophy;30.03.2013
389;Robert Thornton;95.43;Ricky Sudale;84.64;"6;2";L64;European Darts Trophy;30.03.2013
390;John Part;108.35;Vincent van der Voort;94.42;"6;1";L64;European Darts Trophy;30.03.2013
391;Ronnie Baxter;99.51;Kevin Dowling;89.53;"6;3";L64;European Darts Trophy;30.03.2013
392;Connie Finnan;88.84;Steve Beaton;84.77;"6;4";L64;European Darts Trophy;30.03.2013
393;Ian White;96.97;James Richardson;79.43;"6;0";L64;European Darts Trophy;30.03.2013
394;Ross Smith;93.4;James Hubbard;78.96;"6;1";L64;European Darts Trophy;30.03.2013
395;Andy Hamilton;85.79;Gareth Pass;81.88;"6;1";L64;European Darts Trophy;30.03.2013
396;Mark Webster;80.95;Steve Maish;80.61;"6;1";L64;European Darts Trophy;30.03.2013
397;Max Hopp;87.18;Dragutin Horvat;74.73;"6;1";L64;European Darts Trophy;30.03.2013
398;Dean Winstanley;90.1;John Henderson;91.99;"6;4";L64;European Darts Trophy;30.03.2013
399;Colin Lloyd;85.56;Davyd Venken;91.96;"6;3";L64;European Darts Trophy;30.03.2013
400;Paul Nicholson;88.84;Ronny Huybrechts;88.16;"6;5";L64;European Darts Trophy;30.03.2013
401;Paul Nicholson;94.09;Colin Lloyd;87.55;"6;5";L32;European Darts Trophy;31.03.2013
402;Mark Webster;88.27;Andy Hamilton;87.17;"6;3";L32;European Darts Trophy;31.03.2013
403;Nick Fullwell;85.84;Kevin Painter;77.63;"6;4";L32;European Darts Trophy;31.03.2013
404;Dean Winstanley;87.02;Max Hopp;85.62;"6;3";L32;European Darts Trophy;31.03.2013
405;Ian White;98.14;Ross Smith;93.79;"6;2";L32;European Darts Trophy;31.03.2013
406;Ronnie Baxter;89.42;Connie Finnan;83.52;"6;4";L32;European Darts Trophy;31.03.2013
407;John Part;88.83;Robert Thornton;90.55;"6;4";L32;European Darts Trophy;31.03.2013
408;Jamie Robinson;91.29;Brendan Dolan;91.33;"6;5";L32;European Darts Trophy;31.03.2013
409;Michael van Gerwen;87.55;Darren Webster;67.68;"6;0";L32;European Darts Trophy;31.03.2013
410;Justin Pipe;92.46;Joe Cullen;85.36;"6;1";L32;European Darts Trophy;31.03.2013
411;Peter Wright;88.17;Colin Osborne;86.67;"6;1";L32;European Darts Trophy;31.03.2013
412;Wes Newton;87.74;Arron Monk;84.05;"6;5";L32;European Darts Trophy;31.03.2013
413;Terry Temple;93.52;Terry Jenkins;83.58;"6;4";L32;European Darts Trophy;31.03.2013
414;Kim Huybrechts;87.34;Jamie Caven;87.41;"6;5";L32;European Darts Trophy;31.03.2013
415;Andy Smith;93.13;Mervyn King;92.81;"6;5";L32;European Darts Trophy;31.03.2013
416;Mensur Suljovic;75.05;Michael Smith;87.3;"6;4";L32;European Darts Trophy;31.03.2013
417;Paul Nicholson;89.98;Dean Winstanley;94.3;"6;4";L16;European Darts Trophy;01.04.2013
418;Mark Webster;91.62;Ian White;95.59;"6;5";L16;European Darts Trophy;01.04.2013
419;John Part;84.97;Ronnie Baxter;86.59;"6;2";L16;European Darts Trophy;01.04.2013
420;Michael van Gerwen;101.97;Jamie Robinson;85.82;"6;1";L16;European Darts Trophy;01.04.2013
421;Justin Pipe;86.11;Nick Fullwell;88.54;"6;3";L16;European Darts Trophy;01.04.2013
422;Wes Newton;100.04;Peter Wright;87.06;"6;4";L16;European Darts Trophy;01.04.2013
423;Kim Huybrechts;102.58;Terry Temple;90.4;"6;3";L16;European Darts Trophy;01.04.2013
424;Mensur Suljovic;99.1;Andy Smith;89.31;"6;0";L16;European Darts Trophy;01.04.2013
425;Paul Nicholson;91.94;Mark Webster;91.66;"6;4";QF;European Darts Trophy;01.04.2013
426;Michael van Gerwen;97.34;John Part;78.0;"6;1";QF;European Darts Trophy;01.04.2013
427;Wes Newton;86.6;Justin Pipe;81.02;"6;4";QF;European Darts Trophy;01.04.2013
428;Mensur Suljovic;96.0;Kim Huybrechts;97.82;"6;4";QF;European Darts Trophy;01.04.2013
429;Paul Nicholson;92.58;Michael van Gerwen;93.47;"6;2";SF;European Darts Trophy;01.04.2013
430;Wes Newton;100.37;Mensur Suljovic;98.68;"6;4";SF;European Darts Trophy;01.04.2013
431;Wes Newton;92.95;Paul Nicholson;91.45;"6;5";Final;European Darts Trophy;01.04.2013
432;Michael van Gerwen;92.84;Andree Welge;83.81;"6;1";L64;European Darts Open;17.05.2013
433;Wayne Jones;93.32;Bobby Biemans;84.54;"6;1";L64;European Darts Open;17.05.2013
434;Ronnie Baxter;95.17;Maik Langendorf;81.94;"6;2";L64;European Darts Open;17.05.2013
435;Terry Jenkins;90.14;Mark Jones;78.36;"6;2";L64;European Darts Open;17.05.2013
436;Ian White;90.84;Kevin Dowling;87.94;"6;2";L64;European Darts Open;17.05.2013
437;Gary Anderson;100.01;Shaun Griffiths;92.79;"6;1";L64;European Darts Open;17.05.2013
438;John Part;80.01;Jerry Hendriks;75.19;"6;1";L64;European Darts Open;17.05.2013
439;Brendan Dolan;95.2;Jelle Klaasen;94.81;"6;5";L64;European Darts Open;17.05.2013
440;Robert Thornton;82.64;Kurt van de Rijck;79.56;"6;5";L64;European Darts Open;17.05.2013
441;Alex Roy;79.4;Mark Walsh;73.03;"6;2";L64;European Darts Open;17.05.2013
442;Peter Wright;91.96;Ronny Huybrechts;89.72;"6;2";L64;European Darts Open;17.05.2013
443;Mark Webster;88.9;Darren Johnson;84.46;"6;1";L64;European Darts Open;17.05.2013
444;Wes Newton;86.63;Mareno Michels;81.43;"6;3";L64;European Darts Open;17.05.2013
445;Colin Osborne;90.38;Terry Temple;78.91;"6;4";L64;European Darts Open;17.05.2013
446;Andy Hamilton;92.46;Mensur Suljovic;90.93;"6;5";L64;European Darts Open;17.05.2013
447;Andy Parsons;83.32;Colin Lloyd;88.2;"6;5";L64;European Darts Open;17.05.2013
448;Simon Whitlock;95.59;Tomas Seyler;69.97;"6;1";L64;European Darts Open;17.05.2013
449;Arron Monk;91.96;Kevin McDine;88.73;"6;5";L64;European Darts Open;17.05.2013
450;Paul Nicholson;89.13;Stephen Hardy;75.65;"6;1";L64;European Darts Open;17.05.2013
451;James Wade;97.51;Jyhan Artut;90.67;"6;2";L64;European Darts Open;17.05.2013
452;Justin Pipe;92.56;Max Hopp;86.45;"6;5";L64;European Darts Open;17.05.2013
453;Mark Cox;93.39;Andy Smith;89.39;"6;2";L64;European Darts Open;17.05.2013
454;Adrian Lewis;90.32;Keith Stephen;82.65;"6;1";L64;European Darts Open;17.05.2013
455;Richie Burnett;84.09;Steve Beaton;87.73;"6;5";L64;European Darts Open;17.05.2013
456;Raymond van Barneveld;95.7;Adam Hunt;94.14;"6;5";L64;European Darts Open;17.05.2013
457;Kevin Painter;95.08;David Pallett;84.7;"6;3";L64;European Darts Open;17.05.2013
458;Kim Huybrechts;96.71;Steve Maish;90.9;"6;1";L64;European Darts Open;17.05.2013
459;Stuart Kellett;95.18;Dennis Smith;94.01;"6;4";L64;European Darts Open;17.05.2013
460;Dave Chisnall;101.58;Chris Aubrey;81.18;"6;1";L64;European Darts Open;17.05.2013
461;Jamie Caven;89.61;Paul Amos;80.38;"6;3";L64;European Darts Open;17.05.2013
462;Phil Taylor;99.29;Matt Clark;84.59;"6;1";L64;European Darts Open;17.05.2013
463;Mervyn King;87.61;Prakash Jiwa;89.25;"6;5";L64;European Darts Open;17.05.2013
464;Michael van Gerwen;96.02;Wayne Jones;90.53;"6;5";L32;European Darts Open;18.05.2013
465;Terry Jenkins;94.44;Ronnie Baxter;91.74;"6;4";L32;European Darts Open;18.05.2013
466;Gary Anderson;101.54;Ian White;94.15;"6;3";L32;European Darts Open;18.05.2013
467;Brendan Dolan;90.18;John Part;78.9;"6;0";L32;European Darts Open;18.05.2013
468;Robert Thornton;90.52;Alex Roy;91.15;"6;4";L32;European Darts Open;18.05.2013
469;Peter Wright;94.86;Mark Webster;89.35;"6;3";L32;European Darts Open;18.05.2013
470;Colin Osborne;91.72;Wes Newton;94.32;"6;3";L32;European Darts Open;18.05.2013
471;Andy Hamilton;83.64;Andy Parsons;75.45;"6;3";L32;European Darts Open;18.05.2013
472;Simon Whitlock;93.65;Arron Monk;83.9;"6;4";L32;European Darts Open;18.05.2013
473;James Wade;92.28;Paul Nicholson;87.79;"6;2";L32;European Darts Open;18.05.2013
474;Justin Pipe;86.63;Mark Cox;80.89;"6;2";L32;European Darts Open;18.05.2013
475;Adrian Lewis;87.78;Richie Burnett;90.91;"6;4";L32;European Darts Open;18.05.2013
476;Raymond van Barneveld;89.69;Kevin Painter;83.77;"6;1";L32;European Darts Open;18.05.2013
477;Kim Huybrechts;108.51;Stuart Kellett;103.03;"6;1";L32;European Darts Open;18.05.2013
478;Jamie Caven;96.02;Dave Chisnall;90.97;"6;3";L32;European Darts Open;18.05.2013
479;Mervyn King;93.58;Phil Taylor;100.72;"6;2";L32;European Darts Open;18.05.2013
480;Michael van Gerwen;102.5;Terry Jenkins;98.53;"6;3";L16;European Darts Open;19.05.2013
481;Gary Anderson;105.25;Brendan Dolan;94.5;"6;1";L16;European Darts Open;19.05.2013
482;Peter Wright;97.59;Robert Thornton;96.33;"6;4";L16;European Darts Open;19.05.2013
483;Andy Hamilton;92.81;Colin Osborne;86.52;"6;1";L16;European Darts Open;19.05.2013
484;Simon Whitlock;96.33;James Wade;96.82;"6;3";L16;European Darts Open;19.05.2013
485;Justin Pipe;88.76;Adrian Lewis;91.92;"6;5";L16;European Darts Open;19.05.2013
486;Kim Huybrechts;100.39;Raymond van Barneveld;94.69;"6;5";L16;European Darts Open;19.05.2013
487;Jamie Caven;86.31;Mervyn King;90.1;"6;5";L16;European Darts Open;19.05.2013
488;Michael van Gerwen;93.24;Gary Anderson;89.43;"6;3";QF;European Darts Open;19.05.2013
489;Peter Wright;97.83;Andy Hamilton;97.44;"6;3";QF;European Darts Open;19.05.2013
490;Simon Whitlock;99.47;Justin Pipe;89.36;"6;2";QF;European Darts Open;19.05.2013
491;Jamie Caven;92.49;Kim Huybrechts;92.03;"6;3";QF;European Darts Open;19.05.2013
492;Michael van Gerwen;98.88;Peter Wright;94.28;"6;3";SF;European Darts Open;19.05.2013
493;Simon Whitlock;97.25;Jamie Caven;89.19;"6;4";SF;European Darts Open;19.05.2013
494;Michael van Gerwen;106.68;Simon Whitlock;92.41;"6;2";Final;European Darts Open;19.05.2013
495;Jim Walker;102.98;Leon de Geus;87.15;"6;1";L64;Austrian Darts Open;31.05.2013
496;Jamie Caven;96.29;Bernd Roith;83.78;"6;2";L64;Austrian Darts Open;31.05.2013
497;Dave Chisnall;90.18;Andreas Pur;69.09;"6;0";L64;Austrian Darts Open;31.05.2013
498;Stuart Kellett;95.2;Darren Webster;91.84;"6;4";L64;Austrian Darts Open;31.05.2013
499;Joe Cullen;97.04;Kim Huybrechts;100.62;"6;4";L64;Austrian Darts Open;31.05.2013
500;Kevin Painter;87.51;Terry Temple;85.44;"6;4";L64;Austrian Darts Open;31.05.2013
501;Raymond van Barneveld;84.78;Toni Alcinas;81.25;"6;5";L64;Austrian Darts Open;31.05.2013
502;John Henderson;95.78;Richie Burnett;90.18;"6;3";L64;Austrian Darts Open;31.05.2013
503;Steve Beaton;86.67;Erwin Freidl;84.6;"6;4";L64;Austrian Darts Open;31.05.2013
504;Andy Smith;98.58;Mensur Suljovic;89.76;"6;1";L64;Austrian Darts Open;31.05.2013
505;Kevin McDine;96.91;Justin Pipe;90.44;"6;3";L64;Austrian Darts Open;31.05.2013
506;James Wade;93.57;Ronny Huybrechts;89.72;"6;1";L64;Austrian Darts Open;31.05.2013
507;Nigel Heydon;93.87;Paul Nicholson;94.21;"6;4";L64;Austrian Darts Open;31.05.2013
508;Tomas Seyler;94.94;Arron Monk;86.68;"6;2";L64;Austrian Darts Open;31.05.2013
509;Jelle Klaasen;90.93;Steve Hine;92.26;"6;5";L64;Austrian Darts Open;31.05.2013
510;Colin Lloyd;94.55;Jamie Lewis;96.73;"6;5";L64;Austrian Darts Open;31.05.2013
511;Andy Hamilton;88.04;Roland Scholten;92.25;"6;4";L64;Austrian Darts Open;31.05.2013
512;Steve West;91.27;Colin Osborne;88.41;"6;3";L64;Austrian Darts Open;31.05.2013
513;Wes Newton;87.82;Paul Barham;78.89;"6;4";L64;Austrian Darts Open;31.05.2013
514;Dennis Smith;91.67;Mark Webster;86.57;"6;4";L64;Austrian Darts Open;31.05.2013
515;Peter Wright;95.42;Max Hopp;86.86;"6;1";L64;Austrian Darts Open;31.05.2013
516;Mark Walsh;87.08;Christian Kallinger;85.58;"6;3";L64;Austrian Darts Open;31.05.2013
517;Robert Thornton;92.2;Vincent van der Voort;89.78;"6;5";L64;Austrian Darts Open;31.05.2013
518;Brendan Dolan;94.5;Joe Murnan;91.94;"6;3";L64;Austrian Darts Open;31.05.2013
519;Kevin Dowling;95.15;John Part;91.05;"6;3";L64;Austrian Darts Open;31.05.2013
520;Gary Anderson;98.98;John Bowles;93.81;"6;3";L64;Austrian Darts Open;31.05.2013
521;Ross Smith;86.23;Ian White;86.29;"6;4";L64;Austrian Darts Open;31.05.2013
522;Terry Jenkins;76.42;Gunther Rimser;54.27;"6;0";L64;Austrian Darts Open;31.05.2013
523;Ronnie Baxter;101.26;Peter Hudson;94.33;"6;5";L64;Austrian Darts Open;31.05.2013
524;Wayne Jones;82.55;Campbell Jackson;85.88;"6;4";L64;Austrian Darts Open;31.05.2013
525;Michael van Gerwen;92.97;Alan Tabern;85.57;"6;1";L64;Austrian Darts Open;31.05.2013
526;Mervyn King;92.89;Jim Walker;84.02;"6;4";L32;Austrian Darts Open;01.06.2013
527;Raymond van Barneveld;93.19;Kevin Painter;92.03;"6;4";L32;Austrian Darts Open;01.06.2013
528;Steve Beaton;99.87;John Henderson;93.37;"6;5";L32;Austrian Darts Open;01.06.2013
529;James Wade;102.41;Nigel Heydon;88.63;"6;1";L32;Austrian Darts Open;01.06.2013
530;Jelle Klaasen;90.5;Tomas Seyler;81.02;"6;4";L32;Austrian Darts Open;01.06.2013
531;Colin Lloyd;92.97;Andy Hamilton;69.97;"6;0";L32;Austrian Darts Open;01.06.2013
532;Ross Smith;91.98;Gary Anderson;97.53;"6;3";L32;Austrian Darts Open;01.06.2013
533;Michael van Gerwen;96.2;Wayne Jones;84.38;"6;1";L32;Austrian Darts Open;01.06.2013
534;Dave Chisnall;95.1;Jamie Caven;89.86;"6;5";L32;Austrian Darts Open;01.06.2013
535;Joe Cullen;111.84;Stuart Kellett;97.34;"6;1";L32;Austrian Darts Open;01.06.2013
536;Kevin McDine;98.31;Andy Smith;96.74;"6;3";L32;Austrian Darts Open;01.06.2013
537;Wes Newton;101.68;Steve West;104.58;"6;4";L32;Austrian Darts Open;01.06.2013
538;Dennis Smith;91.28;Peter Wright;91.02;"6;5";L32;Austrian Darts Open;01.06.2013
539;Robert Thornton;92.22;Mark Walsh;82.75;"6;4";L32;Austrian Darts Open;01.06.2013
540;Brendan Dolan;81.05;Kevin Dowling;77.66;"6;4";L32;Austrian Darts Open;01.06.2013
541;Ronnie Baxter;92.91;Terry Jenkins;89.04;"6;5";L32;Austrian Darts Open;01.06.2013
542;Mervyn King;94.7;Dave Chisnall;94.84;"6;5";L16;Austrian Darts Open;02.06.2013
543;Joe Cullen;95.1;Raymond van Barneveld;91.52;"6;5";L16;Austrian Darts Open;02.06.2013
544;Steve Beaton;95.86;Kevin McDine;93.06;"6;1";L16;Austrian Darts Open;02.06.2013
545;Jelle Klaasen;100.14;James Wade;100.44;"6;5";L16;Austrian Darts Open;02.06.2013
546;Colin Lloyd;88.64;Wes Newton;87.13;"6;4";L16;Austrian Darts Open;02.06.2013
